,Landingstidspunkt,Bruttovekt
0,2022-01-01,371521.1
9,2022-01-02,431458.5
18,2022-01-03,555873.36
27,2022-01-04,1371934.4
36,2022-01-05,3501201.14
45,2022-01-06,3741697.31
54,2022-01-07,8860168.61
63,2022-01-08,5502923.43
72,2022-01-09,12767651.0
81,2022-01-10,10964235.28
90,2022-01-11,7612754.74
99,2022-01-12,4010118.73
108,2022-01-13,2713464.92
117,2022-01-14,1616430.48
126,2022-01-15,1619284.32
135,2022-01-16,4066859.1
144,2022-01-17,8656327.799999999
153,2022-01-18,11053422.1
162,2022-01-19,6035418.59
171,2022-01-20,5093645.07
179,2022-01-21,6460859.19
187,2022-01-22,4016363.2
195,2022-01-23,8117621.4
203,2022-01-24,6355209.6
211,2022-01-25,5834512.75
219,2022-01-26,3534412.96
227,2022-01-27,10731771.49
235,2022-01-28,6501089.75
243,2022-01-29,6684820.31
250,2022-01-30,6734130.35
257,2022-01-31,9210545.05
1,2022-02-01,11196578.82
10,2022-02-02,10551627.54
19,2022-02-03,9125604.66
28,2022-02-04,6347363.1
37,2022-02-05,8832042.94
46,2022-02-06,9752413.64
55,2022-02-07,7801909.0
64,2022-02-08,13444697.24
73,2022-02-09,6892205.06
82,2022-02-10,6419683.3
91,2022-02-11,5106720.69
100,2022-02-12,3598578.0300000003
109,2022-02-13,5077930.81
118,2022-02-14,5709733.72
127,2022-02-15,8419035.61
136,2022-02-16,11773392.73
145,2022-02-17,13620626.79
154,2022-02-18,9411711.99
163,2022-02-19,10972542.48
172,2022-02-20,13785573.7
180,2022-02-21,19159148.98
188,2022-02-22,27488277.26
196,2022-02-23,13313960.06
204,2022-02-24,14230988.89
212,2022-02-25,10671100.46
220,2022-02-26,7150635.5
228,2022-02-27,6728903.4
236,2022-02-28,5929325.85
2,2022-03-01,5378268.56
11,2022-03-02,5599160.86
20,2022-03-03,6184994.32
29,2022-03-04,4300263.13
38,2022-03-05,6598327.86
47,2022-03-06,8851446.08
56,2022-03-07,9931669.58
65,2022-03-08,7178720.05
74,2022-03-09,16046212.23
83,2022-03-10,13717850.32
92,2022-03-11,14039045.3
101,2022-03-12,12784418.65
110,2022-03-13,14945620.21
119,2022-03-14,9129956.83
128,2022-03-15,12730980.02
137,2022-03-16,11606223.43
146,2022-03-17,10979859.48
155,2022-03-18,10150471.17
164,2022-03-19,5564272.2
173,2022-03-20,2964329.37
181,2022-03-21,11199300.7
189,2022-03-22,5733984.86
197,2022-03-23,6970868.74
205,2022-03-24,12037769.120000001
213,2022-03-25,10790129.4
221,2022-03-26,7252902.75
229,2022-03-27,14266746.3
237,2022-03-28,8584270.42
244,2022-03-29,9693614.89
251,2022-03-30,6413816.4
258,2022-03-31,11372480.45
3,2022-04-01,10724665.11
12,2022-04-02,5300043.5
21,2022-04-03,11265620.6
30,2022-04-04,11379959.3
39,2022-04-05,10807929.65
48,2022-04-06,8777274.3
57,2022-04-07,8429330.59
66,2022-04-08,7040317.24
75,2022-04-09,2413721.4
84,2022-04-10,1918266.15
93,2022-04-11,7796602.83
102,2022-04-12,9314466.36
111,2022-04-13,7369799.73
120,2022-04-14,5724694.47
129,2022-04-15,3819911.5
138,2022-04-16,3858591.01
147,2022-04-17,1872878.9
156,2022-04-18,8169309.49
165,2022-04-19,7148475.7
174,2022-04-20,8975282.379999999
182,2022-04-21,4942696.62
190,2022-04-22,4923971.25
198,2022-04-23,2765005.81
206,2022-04-24,3175239.46
214,2022-04-25,6876207.7700000005
222,2022-04-26,5680368.89
230,2022-04-27,7853968.15
238,2022-04-28,4867641.38
245,2022-04-29,4502213.86
252,2022-04-30,6056264.61
4,2022-05-01,5423068.6
13,2022-05-02,8992683.03
22,2022-05-03,5488861.64
31,2022-05-04,7230206.14
40,2022-05-05,5409744.4
49,2022-05-06,7594546.3
58,2022-05-07,8092049.0
67,2022-05-08,2500241.4
76,2022-05-09,7549920.93
85,2022-05-10,8753840.61
94,2022-05-11,7905020.2299999995
103,2022-05-12,3866342.23
112,2022-05-13,7221620.69
121,2022-05-14,3607309.22
130,2022-05-15,2328769.9
139,2022-05-16,4708313.12
148,2022-05-17,4095120.9
157,2022-05-18,9198851.14
166,2022-05-19,5226998.95
175,2022-05-20,10076227.85
183,2022-05-21,8586318.0
191,2022-05-22,9205762.62
199,2022-05-23,14991253.42
207,2022-05-24,7773184.5
215,2022-05-25,11936911.21
223,2022-05-26,7582925.9
231,2022-05-27,14259966.86
239,2022-05-28,5527675.4
246,2022-05-29,2529596.55
253,2022-05-30,4916580.63
259,2022-05-31,7104677.36
5,2022-06-01,8688458.41
14,2022-06-02,12336510.74
23,2022-06-03,3534256.77
32,2022-06-04,4306691.05
41,2022-06-05,2094620.83
50,2022-06-06,4550982.25
59,2022-06-07,9243499.83
68,2022-06-08,6130743.89
77,2022-06-09,6711708.05
86,2022-06-10,6252012.48
95,2022-06-11,5097797.11
104,2022-06-12,2527448.63
113,2022-06-13,7241447.5
122,2022-06-14,8371215.42
131,2022-06-15,7183544.23
140,2022-06-16,7989443.5200000005
149,2022-06-17,10059192.58
158,2022-06-18,7515286.48
167,2022-06-19,4772261.6
176,2022-06-20,7174828.9
184,2022-06-21,3357731.5
192,2022-06-22,4071879.97
200,2022-06-23,2729376.8
208,2022-06-24,5149509.6899999995
216,2022-06-25,4395162.45
224,2022-06-26,3348313.61
232,2022-06-27,5009261.07
240,2022-06-28,5828340.24
247,2022-06-29,8443753.28
254,2022-06-30,2805462.0
6,2022-07-01,2950632.88
15,2022-07-02,3956976.1
24,2022-07-03,3616891.22
33,2022-07-04,4550263.69
42,2022-07-05,1957440.52
51,2022-07-06,1937953.69
60,2022-07-07,2891609.6
69,2022-07-08,2670604.46
78,2022-07-09,2512377.68
87,2022-07-10,747808.61
96,2022-07-11,3716129.6
105,2022-07-12,4877461.04
114,2022-07-13,3691768.85
123,2022-07-14,3956013.16
132,2022-07-15,3131109.38
141,2022-07-16,3496538.28
150,2022-07-17,1432100.24
159,2022-07-18,3977518.87
168,2022-07-19,3321124.67
177,2022-07-20,5282421.48
185,2022-07-21,4376049.45
193,2022-07-22,3204588.79
201,2022-07-23,2121585.13
209,2022-07-24,2282050.67
217,2022-07-25,5295325.97
225,2022-07-26,2584528.28
233,2022-07-27,2261799.3
241,2022-07-28,3187762.65
248,2022-07-29,2909436.29
255,2022-07-30,1817962.35
260,2022-07-31,557865.97
7,2022-08-01,5116285.9
16,2022-08-02,5029714.29
25,2022-08-03,5537201.54
34,2022-08-04,4725291.79
43,2022-08-05,3163271.98
52,2022-08-06,1439543.89
61,2022-08-07,3949996.42
70,2022-08-08,5512128.18
79,2022-08-09,2959965.16
88,2022-08-10,2169154.0
97,2022-08-11,2607023.17
106,2022-08-12,1847825.74
115,2022-08-13,3159704.73
124,2022-08-14,6174048.43
133,2022-08-15,5948062.52
142,2022-08-16,5653747.18
151,2022-08-17,9697946.8
160,2022-08-18,12756459.05
169,2022-08-19,11664550.71
178,2022-08-20,11235021.89
186,2022-08-21,8026839.65
194,2022-08-22,12526243.959999999
202,2022-08-23,15415910.33
210,2022-08-24,11789361.01
218,2022-08-25,7592857.62
226,2022-08-26,11345652.06
234,2022-08-27,5797460.85
242,2022-08-28,5476425.04
249,2022-08-29,8232876.54
256,2022-08-30,9293509.57
261,2022-08-31,8302908.840000001
8,2022-09-01,9237257.03
17,2022-09-02,6963372.3
26,2022-09-03,6615824.82
35,2022-09-04,2147414.43
44,2022-09-05,13045789.8
53,2022-09-06,5471631.32
62,2022-09-07,6995271.75
71,2022-09-08,5542592.22
80,2022-09-09,6973279.44
89,2022-09-10,7831217.98
98,2022-09-11,7451472.63
107,2022-09-12,8500176.44
116,2022-09-13,11665589.76
125,2022-09-14,8377368.85
134,2022-09-15,8833221.290000001
143,2022-09-16,5042996.71
152,2022-09-17,2922763.68
161,2022-09-18,592341.29
170,2022-09-19,2197123.82
